name,lat,long,within
Ardnurcher or Horseleap,53.39965127,-7.55850348,Moycashel
Urney,54.01892125,-7.397257051,Raphoe South
Conry,53.47871217,-7.551444446,Rathconrath
Clonleigh,54.84520411,-7.516825166,Raphoe North
Mothel,52.27397905,-7.453432368,Upperthird
Rathgormuck,52.29732446,-7.548621275,Upperthird
Kildallan,54.05166018,-7.576946217,Tullyhunco
Aghalurcher,54.29304517,-7.384293838,Magherastephana
Kilvemnon,52.49028883,-7.49736619,Slievardagh
Bordwell,52.87560322,-7.525399005,Clarmallagh
Street,53.686769,-7.45433756,Ardagh
Aghaboe,52.90748281,-7.529706241,Clarmallagh
Drumlane,54.08814086,-7.480617889,Loughtee Lower
Desertegny,55.19820693,-7.494965059,Inishowen West
Freshford,52.730823,-7.394372269,Crannagh
Glashare,52.79065924,-7.508648025,Galmoy
Aghmacart,52.82422904,-7.474746429,Clarmallagh
Killashandra,53.96506295,-7.542269821,Tullyhunco
Rearymore,53.13386366,-7.481841236,Tinnahinch
Dunhill,52.17602871,-7.281331988,Middlethird
Taughboyne,54.92005734,-7.497342159,Raphoe North
Clonmany,55.26059842,-7.422388207,Inishowen East
Granard,53.7671679,-7.511059913,Granard
Leny,53.60607485,-7.425569575,Corkaree
Coolaghmore,52.50904044,-7.401474081,Kells
Athboy,53.61585089,-6.917970379,Lune
Fossy or Timahoe,52.94892556,-7.204059265,Maryborough East
Killeevan,54.16916702,-7.150082136,Dartree
Newtown,53.38453549,-7.397837704,Moycashel
Fahan Upper,55.08505074,-7.408234972,Inishowen West
Killaloe,52.8181209,-8.487735643,Shillelogher
Fenoagh,52.32519459,-7.36908213,Upperthird
Geashill,53.2384721,-7.369588163,Geashill
Aghavea,54.31816657,-7.410210529,Magherastephana
Callan,52.54745267,-7.401884892,Callan
Galloon,54.19410674,-7.381854071,Coole
St Patrick's,52.6390257,-7.264199451,Kilkenny
Killea,52.83120341,-7.878215807,Raphoe North
Ballylaneen,52.17078673,-7.416382188,Decies without Drum
Mullingar,53.52292521,-7.37108995,Moyashel and Maheradermon
Rosenallis,53.12045567,-7.405542504,Tinnahinch
