NAME_EN,LATITUDE,LONGITUDE,CO_NAME
Toome Upper,54.7699388769,-6.3483800516,Antrim
Ikerrin,52.8645171689,-7.8094430027,Tipperary
Kilnamanagh Upper,52.6835531425,-8.0590731013,Tipperary
Moyarta,52.6503797011,-9.5808706894,Clare
Forth,52.2572121322,-6.4465544871,Wexford
Offaly West,53.1172889869,-6.98255109,Kildare
Murrisk,53.7034535359,-9.7003282426,Mayo
Orior Upper,54.1448689047,-6.4227730325,
Connello Upper,52.4278438279,-8.8170992503,Limerick
Ballybritt,53.061903111,-7.7485973882,Offaly
Clonlisk,52.9620035808,-7.922275606,Offaly
Eliogarty,52.7032316879,-7.7943974714,Tipperary
Kilmaine,53.5953611688,-9.1743361474,
Rathcline,53.5999163113,-7.9110076158,Longford
Rathconrath,53.505001456,-7.6046018515,Westmeath
Clanmahon,53.8608672691,-7.3806002087,Cavan
Muskerry East,51.9173210917,-8.7452012857,Cork
Fermoy,52.1907079886,-8.5135583658,Cork
Orrery and Kilmore,52.2839689087,-8.7517820189,Cork
Carbery West (E.D.),51.5822350122,-9.2642970319,Cork
Trough,54.3457356639,-6.9830686454,Monaghan
Kilculliheen,52.2699682802,-7.1034775795,
Fore,53.6940521182,-7.2948796482,Westmeath
Roscommon,53.7955462408,-8.1419926525,Roscommon
Loughinsholin,54.7952214704,-6.670843285,Londonderry
,51.6057450218,-8.857879795,Cork
East Carbery (West Division),51.7010091695,-9.080826318,Cork
Upperthird,52.2969814893,-7.4671013867,Waterford
Tirkeeran,54.9425663841,-7.1683480151,Londonderry
Aran,53.1089853847,-9.6741433818,Galway
Loughrea,53.1478799866,-8.6139830242,Galway
Corcomroe,52.9685911919,-9.2969875,Clare
Carbery West (W.D.),51.5802928514,-9.5312678123,Cork
Clankelly,54.2314238078,-7.2729698929,Fermanagh
Galmoy,52.7685278756,-7.5160014363,Kilkenny
Moygoish,53.6318189332,-7.4957837014,Westmeath
Carbery East (E.D.),51.6897985986,-8.8008773835,Cork
Dunkerron South,51.8588526507,-9.8752126947,Kerry
Smallcounty,52.5019636065,-8.5158788415,Limerick
Kells Upper,53.7183214427,-6.9080274535,Meath
Coshmore and Coshbride,52.1313757348,-7.9541218076,Waterford
Decies-within-Drum,52.0176635581,-7.7392163976,Waterford
Decies-without-Drum,52.1608600637,-7.590083187,Waterford
Gaultiere,52.2056234892,-7.0457743158,Waterford
Glenahiry,52.2868711631,-7.6894599252,Waterford
Middlethird,52.2012722397,-7.2166383309,Waterford
Newcastle,53.0387214042,-6.1321196637,Wicklow
Erris,54.1529598901,-9.7855271583,Mayo
Barony of Athenry,53.2888333343,-8.6981878831,Galway
Loughtee Lower,54.0891566159,-7.4706601567,Cavan
Talbotstown Upper,52.9664252742,-6.6244763216,Wicklow
Ards Upper,54.4497979495,-5.5049675174,Down
St. Mullin's Lower,52.5474478976,-6.8892323911,Carlow
